#,Country,Total Cases,New Cases,,,,,,,,,,,,,,,,
1,USA,"97,959,573",,"1,082,030",,"94,695,619",,"2,181,924","2,960","292,587","3,232","1,115,743,342","3,332,514","334,805,269",North America,3,309,0,,,"6,517"
2,India,"44,575,473",,"528,562",,"44,004,553",,"42,358",698,"31,690",376,"893,818,805","635,432","1,406,631,776",Asia,32,"2,661",2,,,30
3,France,"35,164,535",,"154,960",,"34,468,138",,"541,437",869,"536,171","2,363","271,490,188","4,139,547","65,584,518",Europe,2,423,0,,,"8,256"
4,Brazil,"34,681,231",,"685,881",,"33,818,040",,"177,310","8,318","161,043","3,185","63,776,166","296,146","215,353,593",South America,6,314,3,,,823
5,Germany,"33,041,332",,"149,576",,"32,214,300","+46,500","677,456","1,406","393,895","1,783","122,332,384","1,458,359","83,883,596",Europe,3,561,1,,,"8,076"
6,S. Korea,"24,673,663","+39,367","28,272",+26,"23,905,703","+69,356","739,688",401,"480,688",551,"15,804,065","307,892","51,329,899",Asia,2,"1,816",3,767,0.5,"14,410"
7,UK,"23,621,952",,"189,919",,"23,335,417","+5,187","96,616",146,"344,857","2,773","522,526,476","7,628,357","68,497,907",Europe,3,361,0,,,"1,410"
8,Italy,"22,313,612",,"176,912",,"21,709,268",,"427,432",130,"370,272","2,936","245,996,037","4,082,057","60,262,770",Europe,3,341,0,,,"7,093"
9,Japan,"21,118,325","+50,781","44,463",+88,"20,380,089","+58,178","693,773",225,"168,160",354,"76,201,407","606,772","125,584,838",Asia,6,"2,824",2,404,0.7,"5,524"
10,Russia,"20,833,109",,"386,842",,"19,800,764",,"645,503","2,300","142,882","2,653","273,400,000","1,875,095","145,805,947",Europe,7,377,1,,,"4,427"
11,Turkey,"16,873,793",,"101,139",,"16,744,827","+3,205","27,827",975,"197,211","1,182","162,743,369","1,902,052","85,561,976",Asia,5,846,1,,,325
12,Spain,"13,403,502",,"114,009",,"13,207,520",,"81,973",339,"286,895","2,440","471,036,328","10,082,298","46,719,142",Europe,3,410,0,,,"1,755"
13,Vietnam,"11,473,733",,"43,146",,"10,587,561",,"843,026",103,"115,951",436,"85,826,548","867,342","98,953,541",Asia,9,"2,293",1,,,"8,519"
14,Australia,"10,205,957","+1,762","14,950",+22,"10,133,494",,"57,513",51,"391,501",573,"78,835,048","3,024,116","26,068,792",Australia/Oceania,3,"1,744",0,68,0.8,"2,206"
15,Argentina,"9,708,420",,"129,897",,"9,559,964","+1,622","18,559",294,"211,006","2,823","35,716,069","776,264","46,010,234",South America,5,354,1,,,403
16,Netherlands,"8,415,459",,"22,637",,"8,359,557","+1,185","33,265",31,"488,945","1,315","21,107,399","1,226,358","17,211,447",Europe,2,760,1,,,"1,933"
17,Iran,"7,547,397",,"144,402",,"7,324,360",,"78,635",172,"87,737","1,679","54,060,167","628,440","86,022,837",Asia,11,596,2,,,914
18,Mexico,"7,082,034",,"330,046",,"6,350,757",,"401,231","4,798","53,830","2,509","18,346,244","139,449","131,562,772",North America,19,399,7,,,"3,050"
19,Indonesia,"6,423,873",,"158,036",,"6,246,549",,"19,288","2,771","23,014",566,"108,437,077","388,476","279,134,505",Asia,43,"1,766",3,,,69
20,Taiwan,"6,324,578","+45,850","10,912",+28,"5,534,019","+41,169","779,647",,"264,753",457,"25,865,423","1,082,752","23,888,595",Asia,4,"2,189",1,"1,919",1,"32,637"
